name	purpose	scenario	effects	example
security	管理 OMP 原生安全扫描的计划、执行和结果	用户明确要求漏洞扫描或比较两次结果	scan/import/disposition 等会写扫描数据；export 写文件	/security status
settings	打开常用设置面板	调整界面、工具和任务设置	修改选项时持久化个人配置	/settings
setup	打开模型提供方配置入口	首次配置可访问的模型服务	可能写配置和凭据并访问服务	/setup providers
plan	切换先规划后实施的会话模式	复杂需求需要先确定修改边界	改变会话模式；执行需按计划流程继续	/plan 为接口迁移拟定方案
plan-review	重新打开最近一次计划的审阅界面	规划模式下重新查看计划	可改变计划审阅状态，不直接实现代码	/plan-review
vibe	切换持续使用快速/强模型 Worker 的模式	需要面向任务的持续协作	切换会话；主会话工具集只读不等于 Worker 不能修改	/vibe
goal	管理持续自主执行的会话目标	需要跨轮持续推进明确目标	设置目标并可能持续执行修改和消耗模型额度	/goal show
guided-goal	通过对话采访明确目标后设置 goal	初始目标不够明确	产生对话并准备持续目标	/guided-goal 整理本模块的重构目标
loop	重复提交任务直到次数或时间条件满足	确有必要的周期性检查	重复运行任务；再次调用关闭循环，Esc 仅取消当前轮	/loop 3 检查已有测试结果
queue	把消息放入主 Agent 让出后的队列	不打断当前工作的补充要求	改变消息队列；内容随后会执行	/queue 完成后汇总未验证项
model	打开本会话模型选择器	切换可用模型	改变当前会话模型	/model
switch	按模糊名称或角色快速切换模型	已有模型角色配置时快速切换	改变会话模型和可选思考档位	/switch @task
fast	切换优先服务档位	提供方支持且需要低延迟时	改变服务请求参数，可能影响费用	/fast status
skillful	控制本会话系统提示是否列出 Skills	排查自动 Skill 选择	改变本会话技能列表可见性	/skillful status
extended-context	切换扩展上下文窗口	模型支持且任务需要长上下文	改变模型请求窗口，可能影响费用	/extended-context status
computer	切换原生 computer-use 的 eval 前置环境	已配置桌面交互能力时	改变工具环境；实际操作可能影响桌面	/computer status
prewalk	在下一次动作转给快速低成本模型	适合明确机械步骤的任务	改变后续模型执行策略	/prewalk
advisor	配置第二模型的逐轮建议	需要对主模型输出提供旁路检查	可调用额外模型；dump 复制对话	/advisor status
